locode,action,evidence,lon,lat,locode_candidate,found_by,reason
USGFP,relink,SRC-008#536,,,USGPT,not_a_port;subdivision;unlocode_coords,座標はミシシッピ州ガルフポート港で正しい。USGFP はフロリダ州ガルフポート(道路)を指す。港は USGPT
USIJX,relink,SRC-008#1244,,,USJAX,not_a_port;subdivision,座標はフロリダ州ジャクソンビル港で正しい。USIJX はイリノイ州ジャクソンビルの空港を指す。港は USJAX
USKND,relink,SRC-008#425,,,USOAK,not_a_port;subdivision;unlocode_coords,座標はカリフォルニア州オークランド港の近く(SRC-008 から 16 km)。USKND はオレゴン州オークランド(道路)を指す。港は USOAK
JPISS,disputed,,,,,not_a_port,鹿児島県伊佐市(内陸・吸着 83.1 km)に置かれている。JPISS は道路のみで港でない。国内に港の機能を持つ Isa が無く、SRC-008 にも無い。どの港を指すか決められない
PTPIC,disputed,,,,,not_a_port,ブラガ県の内陸(ポルトガル本土)に置かれている。PTPIC は道路のみで港でない。アゾレス諸島のピコ島の港を指す可能性があるが、港の機能を持つ同名が UN/LOCODE にも SRC-008 にも無く決められない
AIAXA,keep,,,,,not_a_port,UN/LOCODE の機能は空港と郵便のみだが、座標はアンギラ島で港の位置として妥当。照合できる出典は無い
AOMAL,keep,,,,,not_a_port,UN/LOCODE の機能欄が未確定(0)。SRC-008 と 13.3 km で一致
BRIGI,keep,,,,,not_a_port,UN/LOCODE の機能に港の桁が無いが、イタグアイ港は実在し区分 BR-RJ と一致
BRSLZ,keep,,,,,not_a_port,UN/LOCODE の機能に港の桁が無いが、サンルイス(イタキ港)は実在し区分と座標の両方と一致
CNFQG,keep,,,,,not_a_port,UN/LOCODE の機能は道路のみだが、福清は福建の港湾都市で座標はその市域。照合できる出典は無い
CNQZJ,keep,,,,,not_a_port,CNQZJ は UN/LOCODE 2024-2 に無い。座標は泉州港の近く。照合できる出典は無い
CUMOA,keep,,,,,not_a_port,UN/LOCODE の機能は空港のみだが、モア港は実在し SRC-008 と 5.4 km で一致
CVPAL,keep,,,,,not_a_port,UN/LOCODE の機能欄が未確定(0)。座標はサル島パルメイラ港。照合できる出典は無い
CVSAR,keep,,,,,not_a_port,UN/LOCODE の機能欄が未確定(0)。座標はボアビスタ島サルレイ。照合できる出典は無い
EEPLA,keep,,,,,not_a_port,UN/LOCODE の機能に港の桁が無いが、パルディスキ港は実在し区分と一致
GUPIT,keep,,,,,not_a_port,UN/LOCODE の機能は道路のみだが、ピティはグアムのアプラ港に面する。照合できる出典は無い
MHKWA,keep,,,,,not_a_port,UN/LOCODE の機能は空港のみだが、クェゼリンは SRC-008 と 6.5 km で一致
MXPRO,keep,,,,,not_a_port,UN/LOCODE の機能は道路のみだが、パライソ(ドスボカス港)は実在し区分 MX-TAB と一致。座標は港でなく市の中心を指す
PACSO,keep,,,,,not_a_port,UN/LOCODE の機能は道路のみだが、ココソロはコロンのコンテナ港。照合できる出典は無い
RUGDX,keep,,,,,not_a_port,UN/LOCODE の機能は空港のみだが、マガダン(ナガエフ湾)は実在の港。照合できる出典は無い
THHKT,keep,,,,,not_a_port,コードは空港(Phuket International Apt)だが、座標はプーケット島で区分と一致。港の位置としては島の北端に寄る
UYPTP,keep,,,,,not_a_port,UN/LOCODE の機能は道路のみだが、プンタペレイラ港は実在し区分 UY-CO と一致
WFFUT,keep,,,,,not_a_port,コードは空港だが、座標はフツナ島で港の位置として妥当。照合できる出典は無い
CDBNW,keep,,,,,unlocode_coords,UN/LOCODE の座標の緯度の符号が逆(北緯 6 度)。SRC-008 と 3.0 km で一致
CNDJK,keep,,,,,subdivision,UN/LOCODE の区分が GD(広東)だが、UN/LOCODE 自身の座標は山東の日照を指し SRC-004 と 38.6 km で一致。区分の側の誤り
CNJGY,keep,,,,,wpi,SRC-008 は CNJGY を江蘇省の江陰に付けているが、コードの定義元の UN/LOCODE は区分 FJ(福建)と座標の両方で SRC-004 と一致
CNZZU,keep,,,,,wpi,SRC-008 と 53.8 km。SRC-004 は漳州の市域、SRC-008 は東へ離れた九龍江の河口側を指す。区分 CN-FJ とは一致し、閾値をわずかに超えただけで別の地点ではない
ERMSW,keep,,,,,subdivision,区分の多角形から 52.7 km だが SRC-008 と 2.6 km で一致。Natural Earth と UN/LOCODE の区分の境界の差
ESSPC,keep,,,,,subdivision,UN/LOCODE の区分は GC(ラスパルマス県)だが、ラ・パルマ島はサンタクルス・デ・テネリフェ県。SRC-008 と 1.6 km で一致
IRASA,keep,,,,,subdivision,イランの州の番号が UN/LOCODE と Natural Earth で体系が違う。座標はペルシャ湾岸のアサルーイェ
IRBKM,keep,,,,,subdivision,イランの州の番号が UN/LOCODE と Natural Earth で体系が違う。SRC-008 と 1.6 km で一致
IRBND,keep,,,,,subdivision,イランの州の番号が UN/LOCODE と Natural Earth で体系が違う。SRC-008 と 7.6 km で一致
IRBUZ,keep,,,,,subdivision,イランの州の番号が UN/LOCODE と Natural Earth で体系が違う。SRC-008 と 1.9 km で一致
NOHVI,keep,,,,,subdivision,ノルウェーの県番号が改定されており UN/LOCODE の 18 と Natural Earth が食い違う。座標(北緯 59.3 度・東経 5.32 度)はノルウェー南西岸で港の位置として妥当
PGKIM,keep,,,,,wpi,SRC-008 と 63.8 km。SRC-004 はキンベの町(南緯 5.55 度・東経 150.14 度)を指し、SRC-008 はキンベ湾の沖合 35 km の海上の点(Natural Earth の陸地から 35.1 km)。町の埠頭の位置として SRC-004 を残す
